,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
F13A1,142.31,203.65,176.16,148.04,163.38,365.96,161.66,109.4,116.1,133.92,218.82,277.61,314.87,73.29,74.94,62.13,53.27,55.21,51.94,53.32,22.7,28.42,35.12,126.98,119.84,262.4,224.09,260.3,151.48,166.12,147.31,233.44,287.66,358.28,198.22,131.07,155.82,168.9,232.26,396.92,59.6,147.88,114.46,140.71,248.81,157.19,210.79,89.93,95.97,91.04,191.02,151.77,198,101.58,97.89,121.11,133,214.76,283.27,91.79,252.76,196.58,234.82,433.81,565.17,508.95,280.58,270.49,223.66,302.28,193.51,144.42,66.67,225.66,390.09,261.75,383.15,171.97,213.88,201.5,326.25,245.53,256.83,405.31,359.57,372.58,228.2,196.44,86.22,313.07,369.1,266.25,188.66,85.14,469.07,522.88,311.92,276.41,83.54,75.44,319.25,363.85,280.81,192.48,105.96,37.71,332.82,384.16,189.81,236.86,105.44,95.38,343.26,318.69,309.09,139.8,122.19,61.3,325.02,534.58,408.63,163.16,150.38,54.91,248.64,230.71,244.85,165.06,138.97,103.04
FADD,37.33,42.66,30.86,20,25.53,36.94,30.34,27.93,24.54,29.76,20,20,35.52,27.18,20,33.58,29.3,30.01,20,30.34,30.27,29.38,28.42,30.82,26.63,20,27.86,36.44,50.94,35.05,30.25,20,26.24,20,23.23,36.99,33.69,20,27.54,20,38.49,26.89,20,24,20,33.6,20,23.62,27.42,29.98,37.19,24.24,52.8,26.83,20.39,23.52,33.88,29.17,20,34.73,23.7,20,20,39.1,24.28,20,24.69,28.68,38.1,20,25.07,20,30.69,34.92,23.79,20,20,25.32,20,20,20,27,28.17,20,20,27.44,20,27.57,33.8,34.06,31.77,20,32.53,35.7,20,37.72,20.73,25.36,30.25,34.49,25.39,20,24.3,39.23,36.59,33.14,26.04,20,20,27.54,40.96,48.79,24.89,20,30.25,20,20,34.65,35.72,20,20,39.6,28.37,32.23,20,34.79,25.11,32.69,24.84,38
FAS,82.82,108.7,165.87,336.79,174.62,174.32,231.06,58.97,84.95,187.31,238.07,128.28,137.25,203.35,72.11,75.56,62.59,212.44,204.17,162.73,91.5,104.03,121.16,72.73,401.89,149.14,146.56,214.75,85.8,210.31,269.63,170.67,206.14,325.39,165.39,50.74,94.76,193.99,107.75,190.66,155.22,63.02,437.85,442.87,200.43,223.19,118.39,70.86,187.73,277.56,136.92,122.26,128.23,178.25,56.08,231.63,308.67,136.55,94.42,110.4,72.22,98.29,187.85,128.47,86.1,86.6,124.03,104.14,72.51,263.72,365.96,612.19,304.78,198.79,67.79,20,112.58,160.37,259.06,110.92,79.67,70.87,59.6,80.83,97.51,157.26,345.19,458.36,301.42,97.33,164.89,344.97,528.58,161.13,69.49,241.72,247.76,608.61,232.62,151.96,76.18,146.44,273.61,331.02,237.07,148.54,57.73,122.27,149.61,548.07,269.27,239.55,92.3,170.29,179.6,396.36,357.73,171.91,91.08,158.88,286.48,377.01,287.99,226.8,76.5,211.48,226.02,531.15,378.1,265.27
FASLG,34.99,39.9,27,20,22.47,20,20,32.59,36.81,20,42.01,20,20,20,52.32,36.94,20,25.2,20,20,20,20,20.52,39.45,31.47,20,26.65,20,46.92,47.24,35.51,20,20,36.35,20,30.65,32.64,20.27,29.93,20,20,27.73,36.34,31.63,79.48,20,20,37.25,23.2,20,20,20,20,20,35.69,24.69,27.6,45.07,20,20,26.52,20,23.92,72.61,20,20,21.07,28.68,47.93,61.33,89.23,131.64,98.42,42.98,30.92,20,34.5,45.37,41.17,41.72,31.61,35.44,31.43,51.54,47.23,60.16,63.55,72.37,60.01,42.17,71.1,95.91,105.72,51.27,31.85,34.29,33.56,67.2,53.29,57.12,52,50.31,42.3,85.82,51.84,65.13,35.09,61.57,55.83,114.3,56.64,65.23,31.11,52.71,62.39,105.26,41.22,54.64,75,63.55,71.18,102.97,63.84,45.36,64.73,75.99,85.39,102.96,52.79,67.23
FCAR,170.3,111.46,81.01,371.95,131.73,279.38,283,50.43,60.41,169.8,169.8,116.79,174.39,287.3,59.39,92.35,82.56,100.82,342.08,106.65,101.82,21.67,20,64.1,208.21,128.37,121.13,174.4,53.62,143.26,205.18,223.63,254.86,244.04,188.61,112.04,114.76,199.79,154.44,513.99,391.15,45.37,517.79,380.69,224.62,224.39,262.76,36.34,82.26,103.25,116.64,50.59,201.77,89.32,43.84,123.46,141.79,110.03,124.77,109.16,30.47,66.09,125.83,113.57,45.26,58.62,37.93,37.51,45.47,38.55,39.1,93.3,154.51,305.35,39.25,20,20,26.38,75.31,24.42,24.66,20,20,33.97,20,21.11,39,187.25,168.99,20,30.25,20,378.95,188.59,43.43,68.57,59.23,195.26,124.59,179.98,24.19,25.16,46.8,69.88,133.4,73.13,20,20,20,79.87,94.99,103.06,30.07,20,20,82.23,108.94,94.62,20,20,29,55.44,131.94,103.85,20,20,26.37,67.01,114.13,232.38
FCER1A,32.66,59.17,37.29,20,37.78,72.73,20,130.35,90.61,73.52,66.52,141.68,69.43,20,63.63,95.71,61.26,43.21,20,20,27.52,49.12,50.52,96.16,25.42,66.07,20,20,77.75,54.86,27.62,51,33.73,20,20,31.71,33.69,20,29.93,20,20,31.09,20,20,20,20,20,94.48,51.68,26.65,43.95,22.13,20,20,33.65,20,20,37.12,20,20,41.19,40.67,23.92,37.24,32.01,20,52.38,20.3,51.61,45.56,48.13,116.3,283.62,28.65,47.57,20,29.05,59.08,184.76,300.21,159.96,106.31,121.37,35.14,20,20,39,226.31,125.54,51.91,20,30.06,112.22,104.37,60.81,44.57,41.46,128.06,213.18,49.58,82.23,61.09,73.8,207.19,538.93,314.22,45.28,60.7,20,249.25,751.18,770.73,34.22,28.38,32.14,103.61,237.01,90.62,20,20,20,68.12,99.31,138.47,36.78,29.3,30.14,98.06,672.36,241.88
FCER1G,300.94,225.66,249.45,336.79,216.48,349.8,454.63,149.74,205.77,286.22,402.62,264.21,332.63,350.27,162.6,241.8,222.39,246.04,397.6,178.36,491.9,225.4,222.59,162.73,504.78,254.85,210.76,308.46,182.32,295.66,340.65,333.49,362.62,366.93,453.31,150.09,197.93,314.64,332.83,926.52,392.39,117.63,379.71,602.13,469.97,347.98,475,156.25,228.86,283.11,278.92,101.18,367.71,361.1,190.67,296.3,388.98,267.79,210.2,212.12,178.28,138.96,217.1,221.56,104.86,123.91,205.32,187.98,283.88,283.88,482.27,563.63,605.33,1087.99,377.01,224.94,254.22,337.62,528.16,424.87,297.16,256.5,331.6,240.14,280.34,372.58,576.28,860.44,707.69,254.67,305.57,359.29,505.81,574.93,356.15,689.17,511.31,915.45,618.64,455.88,246.69,344.09,393.31,517.37,974.96,343.93,239.99,324.32,453.3,884.08,606.52,576.13,216.74,184.08,208.9,404.59,613.88,285.18,192.87,252.34,423.57,522.75,818.58,528.81,186.85,251.76,361.63,627.57,328.41,285
FCGR1A,43.16,46.78,20,135.09,123.56,98.13,149.61,48.1,27.37,36.76,143.54,116.79,79.12,99.44,49.49,20,20,51.61,118.2,78.15,33.02,20,20,35.75,144.05,141.58,94.48,124.95,37.54,47.24,103.91,127.51,132.12,193.85,107.32,40.17,31.59,41.5,152.05,181.74,249.59,28.57,158.06,241.07,241.9,160.79,142.93,31.8,50.62,57.73,118.33,57.97,45.26,34.12,35.69,75.25,96.62,127.27,71.94,59.54,24.26,44.06,32.79,147.08,37.53,31.98,20,20,97.08,199.76,243.64,506.11,307.96,222.08,83.25,20,58.11,182.52,318.3,49.36,40.46,36.28,32.51,56.23,70.08,117.16,270.08,349.23,158.64,50.29,127.07,180.36,479.78,127.25,72.39,301.73,243.81,789.92,189.41,125.02,65.3,125.78,268.21,270.94,177.61,95.98,43.02,80.65,156.31,515.02,135.07,126.08,59.11,67.31,85.07,264.79,317.98,105.28,87.51,84.11,211.78,407.11,263.87,242.32,54.44,100.7,190.86,490.29,187.11,137.38
FCGR2A,994.98,598.56,700.78,1138.05,526.92,679.97,970.77,132.67,139.69,519.04,434.13,281.44,327.79,230.53,219.16,320.72,319.6,315.65,580.28,230.76,488.46,110.29,119.98,376,1114.88,385.11,325.83,421.69,339.16,477.01,595.81,360.95,482.55,475.97,279.51,415.4,425.35,886,529.17,981.16,325.33,217.62,1689.64,1289.33,708.41,609.57,451.9,146.26,352.26,445.21,380.35,105.39,429.94,364.17,232.48,396.24,574.68,255.86,225.94,141.41,203.67,254.2,360.64,297.89,145.71,169.2,370.9,221.07,318.29,663.25,712.87,1007.11,478.34,472.81,291.38,94.07,119.85,171.97,373.53,67.67,113.18,129.94,100.78,151.11,167.59,210.04,518.51,823.67,469.72,79.48,225.39,279.13,1211.66,196.83,253.36,456.02,388.91,971.24,270.79,209.08,153.58,208.43,366.31,326.11,294.24,143.97,134.71,189.91,198.74,710.57,257.07,276.83,222.97,179.21,145.57,483.53,562.36,138.59,239.3,185.05,422.69,559.18,451.14,353.34,195.67,185.85,291.31,606.32,566.77,440.65
FCGR2B,803.68,765.05,699.49,1130.65,322.68,585.3,805.38,225.78,337.91,680.97,644.2,367.6,395.61,202.66,289.86,325.76,384.86,511.29,807.73,278.57,691.41,227.8,177.2,314.36,1204.45,447.41,364.59,417.79,344.52,972.31,910.16,621.86,480.68,825.59,406.86,385.8,600.12,969.97,396.28,527.37,239.66,246.18,1475.25,1434.41,666.94,575.97,242.55,153.52,664.44,662.82,373.59,112.77,492.17,501.02,192.71,772.49,860.77,323.47,248.42,195.99,196.34,447.39,691.16,430.08,142.4,223.83,408.83,229.46,20,51.69,35.09,53.68,21.17,102.08,24.98,20,42.67,44.31,28.12,26.97,60.7,32.91,22.76,20,39.61,50.66,46.22,20,20,20,48.41,37.22,39.03,20,56.46,73.72,37.51,57.06,23.77,29.1,30.23,37.73,44.1,47.81,35.06,31.99,24.9,42.49,20,64.72,22.66,23.57,31.11,25.95,35.92,32.89,38.28,20,46.43,20,44.82,63.36,32.63,39.39,20,29.3,46.46,49.03,20,20
FCGR3,190.13,178.88,218.59,257.22,146.02,84.27,152.51,154.4,196.33,245.95,404.37,149.34,88.81,45.42,121.6,164.56,186.44,225.64,268.65,39.53,194.69,217.69,204.04,118.35,376.47,241.64,77.52,79.39,128.69,205.74,331.44,213.83,126.49,96.92,376.02,88.79,94.76,235.5,231.06,129.33,60.85,84.02,461.47,539.95,266.09,215.99,259.88,180.78,242.57,327.53,218.07,70.61,279.08,420.52,171.3,276.31,569.66,367.22,118.03,120.32,218.34,144.05,218.87,160.12,59.61,71.95,204.12,216.22,41.78,74.47,120.32,192.99,77.25,266.85,38.06,20,50.84,132.94,60.25,160.28,59.43,79.31,65.02,38.66,53.33,84.44,213.76,29.87,111.74,90.84,96.81,111.65,53.67,78.73,65.15,178.29,171.75,158.49,102.99,135.79,56.84,43.12,52.2,109.11,52.6,131.4,45.28,66.77,111.65,90.89,102.83,109.63,44.59,34.06,51.99,87.17,35.33,91.95,48.22,80.37,116.88,163.16,61,53.72,38.25,78.73,115.52,165.06,45.81,73.81
FCGRT,37.33,30.27,34.72,20,20,33.48,30.75,29.48,21.71,28.88,35.01,20,20,20,36.76,36.94,39.95,24,20,20,42.65,28.9,22.89,43.15,38.74,20,25.44,20,34.85,38.1,31.57,20,21.55,20,25.63,31.71,42.11,34.75,20,25.64,20,21.85,20,54.54,20,28.8,40.43,23.62,36.91,27.76,20,20,20,31.05,24.47,31.75,25.1,20,20,29.77,20.87,33.89,25.7,20,20,20,20.47,20,24.58,20,20,20,20,22.39,27.35,20,20,20,20.08,20,20,26.16,39.01,20,20,20,20,20,20,20,20,20,20,20,31.85,20,20,32.97,20,25.87,25.39,29.65,27.9,20,20,23.99,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FEZ1,26.83,27.52,20,20,20.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.96,20
FKBP5,74.65,77.06,83.58,129.53,88.84,233.2,245.6,65.17,86.84,130.42,133.04,124.45,279.35,432.85,53.73,63.81,46.61,80.41,148.65,78.15,80.49,41.9,63.54,56.71,83.52,101.94,150.2,285.03,72.39,129.54,136.79,141.24,219.26,150.58,259.49,51.79,91.6,108.1,122.12,393.58,206.13,43.69,192.58,127.62,110.58,188.39,186.24,44.51,46.41,58.84,126.78,135.96,235.71,197.03,53.02,91.71,122.97,140.52,134.89,106.68,54.73,52.53,88.61,109.85,99.35,114.58,78.27,120.02,58.99,152.45,141.37,293.95,291.02,401.17,78.49,89.98,115.31,137.16,174.71,157.74,166.92,106.31,68.27,69.11,79.23,101.32,184.87,377.95,468.34,69.75,117.99,118.81,299.26,323.17,76.73,157.72,145.1,295.43,280.15,389.06,61.67,55.7,115.2,187.58,278.23,174.82,69.05,100.59,80.39,213.45,305.88,327.26,97.48,99.74,119.1,167.76,320.93,218.55,116.08,119.63,179.27,234.45,320.62,316.33,92.69,120.85,110.5,236.97,206.52,362.46
FLT1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FLT3LG,32.66,49.54,50.15,20,37.78,20,33.25,38.02,43.42,32.39,54.27,20,64.59,43.7,48.07,35.26,42.61,33.61,35.82,24.82,28.89,34.19,44.99,57.94,20,41.53,25.44,20,40.22,35.05,38.14,41.2,23.42,20,22.02,40.17,53.69,34.75,40.71,23.41,20,46.21,20,27.27,20,24,30.32,36.34,32.69,22.21,47.33,31.62,20,29.13,36.71,27.04,26.35,38.45,20,32.25,40.62,20,24.81,48.41,25.39,35.97,28.9,44.57,33.18,50.82,46.12,48.57,41.27,28.65,57.09,106.34,57.2,48.53,36.15,35.62,41.1,45.56,59.6,38.66,47.23,50.66,46.22,50.55,52.42,56.77,42.36,41.51,117.1,38.45,39.09,53.14,36.52,35.5,36.01,44.19,27.81,43.12,53.1,51.49,42.69,58.27,41.88,42.49,20,41.31,49.67,50.98,64.3,61.63,69,50.98,45.64,34.65,48.22,61.68,60.63,72.87,59.58,33.42,42.67,57.68,56.5,20,66.77,61.38
FN1,89.82,126.59,142.73,107.33,93.95,247.05,347.83,62.84,109.49,131.29,190.81,130.19,20,20,73.53,68.85,46.61,54.01,93.13,35.86,225.65,47.68,58.41,71.5,123.47,81.17,66.62,35.14,71.05,109.73,76.28,121.63,66.53,60.58,118.13,64.48,87.39,73.35,92.19,62.44,20,49.57,41.79,149.44,134.77,37.2,76.52,67.22,127.61,98.81,20,32.67,320.57,327.75,57.1,57.61,53.95,60.98,57.33,94.27,34.42,20,28.36,20,20,49.3,44.56,33.54,97.08,98.13,90.24,51.12,58.2,198.79,206.94,159.5,145.27,48.53,57.23,154.18,266.82,108.84,138.71,126.51,140.17,63.33,85.21,64.33,37.94,90.84,69.58,52.96,56.92,37.54,172.28,258.87,99.7,131.87,90.74,93.76,56.84,97.03,73.8,51.49,108.24,41.13,106.41,113.6,46.89,90.89,62.74,62.49,74.67,53.52,44.43,36.18,53,67.96,83.93,128.97,67.67,71.28,86.54,91.92,98.57,118.1,56.5,52.3,72.98,83.31
FOS,2129.93,612.32,441.04,264.62,692.34,155.85,291.32,240.52,150.08,190.81,152.3,400.14,32.29,67.44,275.72,261.95,351.56,213.64,1108.61,26.66,358.43,315.94,579.75,462.29,360.73,103.83,99.32,31.24,533.54,242.32,259.11,143.2,499.42,65.77,51.26,231.48,202.15,286.65,129.3,168.36,31.04,126.03,150.8,404.69,279.91,112.79,80.85,346.11,151.87,155.44,81.14,111.72,116.91,170.2,215.15,165.79,193.23,128.59,106.79,44.66,275.89,264.37,225.07,206.66,193.17,59.95,337.78,156.21,459.61,372.37,306.8,631.36,455.05,267.74,1224.99,453.97,779.01,580.28,388.59,278.33,173.87,648.84,268.75,1073.01,687.14,544.62,554.61,421.6,73.8,1299.3,473.48,234.75,860.36,229.79,606.61,233.15,188.53,887.55,159.88,99.15,232.18,248.86,189,326.11,229.45,51.42,354.32,252.35,149.61,499.88,256.2,268.06,244.74,143.53,144.62,217.1,248.79,66.63,425.03,289.72,127.42,549.68,234.08,103.85,316.32,280.14,234.81,315.42,110.25,134.46
FOXJ1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FOXP3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.39,20,25.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FPR2,69.99,45.41,36,136.94,47.99,185.87,179.11,20,20,43.76,50.77,82.33,87.2,203,20,20,31.96,37.21,55.52,53.32,48.16,20,20,20,76.26,50.97,56.93,140.56,20,44.2,53.93,96.12,118.06,173.08,95.31,41.22,36.85,62.73,57.47,211.84,126.66,20,176.23,125.44,138.23,99.59,124.16,20.89,29.53,26.65,33.81,32.67,107.49,51.37,20,49.38,62.74,39.77,58.45,40.94,20.87,47.45,63.8,57.72,28.7,59.95,34.32,20,20,20,20,20,84.66,136.11,20,20,20,20,55.23,31.55,20,20,20,20,20,20,20,155.09,236.59,20,20,20,170.77,197.75,20,46.29,24.68,59.59,98.67,177.83,20,20.66,24.3,38.01,220.3,101.69,20,20,20,92.26,123.74,114.02,20,20,20,20,117.77,66.63,20,20,20,34.85,173.08,173.09,20,20,20,32.69,44.25,87.69
FUT5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FXYD2,36.16,20,29.57,38.86,20,20,20,20.17,20,20,40.26,20,20,20,33.93,20,34.62,25.2,20,20,20,20,20,29.59,20,20,20,20,28.15,20,20,20,20,20,20,39.11,23.16,20,23.94,20,20,28.57,36.34,20,20,20,20,27.25,23.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.06,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FYN,106.15,115.58,154.3,131.38,145,131.61,145.03,128.79,113.27,104.16,113.79,139.76,188.92,181.33,127.26,120.9,117.19,80.41,120,202.26,78.43,117.03,162.2,143,125.89,134.03,144.14,145.77,146.12,138.68,180.19,129.47,162.1,117.69,96.51,154.32,154.77,158.28,108.95,109.27,139.07,84.02,90.84,85.08,76.02,169.19,129.94,113.55,80.15,74.39,133.54,232.92,147.09,89.7,110.12,79.95,62.74,96.78,115.78,115.36,116.22,77.96,101.9,152.67,207.52,122.57,153.54,159.29,146.24,217.29,219.58,259.45,258.22,169.24,197.43,159.5,225.17,173.03,173.71,278.33,158.07,171.28,134.37,179.23,181.31,169.93,193.54,212.52,279.35,204.38,202.7,280.56,229.32,286.55,162.15,154.29,144.12,183.85,259.27,278.06,212.83,186.87,181.8,214.55,234.02,374.78,148.3,135.28,111.65,194.17,275.37,282.31,218.82,254.63,194.72,238.48,241.43,261.19,289.3,239.25,243.42,226.52,310.69,153.99,264.82,205.07,232.3,289.27,212.73,301.07
GATA3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.66,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.99,20,20,20,20,20.91,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
GBP1,1407.9,2811.15,4457.96,7812.76,4684.03,4059.02,5949.31,325.09,1412.99,3649.05,5580.72,3088.18,1984.5,2352.44,410.04,582.67,367.54,3955.87,6794.97,2996.24,880.6,718.09,472.41,522.7,9949.16,3507.51,2306.26,3157.49,691.73,4675.64,5725.31,4317.71,3139.86,4202.39,1815.64,387.91,2198.33,4976.29,3078.05,1684.69,2168.07,552.86,8744.33,10949.52,5881.53,4956.94,2396.64,752.18,5230.1,6685.95,4863.37,1434.42,2123.3,3210.81,551.63,6413.94,7440.75,3452.11,2214.44,1905.34,866.59,2569.13,4822.17,3792.54,1149.1,1171.11,2059.21,1073.59,76.19,1120.61,2351.17,3886.59,1970.49,1884.96,117.74,85.89,387.69,1986.67,2166.87,495.6,618.35,357.75,153.88,106.6,420.51,1042.79,2679.18,2351.55,1144.99,77.86,1140.59,2212.99,4231.86,932.88,157.8,2605.81,2733.26,4715.44,1320.1,1058.33,186.23,580.37,2121.36,2274.22,1201.35,657,66.79,609.63,803.88,2678.4,972.53,1003.7,186.67,488.98,930.11,2064.05,2065.41,647.65,351.81,800.01,2073.01,2298.51,1437.12,1038.53,77.98,831.27,1623.57,3485.96,2722.03,1661.74
GFI1,27.99,20,25.72,20,20,20,20,20,20,20,20,20,20,20,31.11,20,20,20,20,20,20,20,20,28.35,25.42,20,20,20,20,20,20,20,20,20,20,21.14,20,20,20,20,20,20,20,20,20,20,20,29.07,20,20,20,20,20,20,27.53,20,20,30.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.53,20,20,20,20,20,20,20,20,20,20,20,20,26.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.12
GNAQ,269.45,202.27,201.87,129.53,94.97,151.23,143.37,117.16,93.44,161.05,131.29,130.19,75.89,50.92,151.29,206.54,182.44,118.82,127.16,59.76,185.75,130.04,136.16,203.41,129.52,105.72,93.27,89.8,194.38,150.88,138.1,103.97,101.2,154.04,102.11,160.66,171.61,190.13,82.61,128.22,65.81,140.32,152.61,125.44,107.13,68.4,92.4,120.82,138.16,101.03,84.52,50.59,79.2,94.68,140.71,145.8,138.02,124.62,100.04,111.64,113.97,115.24,130.26,107.99,71.75,122.57,113.2,130.17,132.72,90.24,108.28,67.74,75.14,110.14,108.23,102.25,88.07,60.14,88.36,47.32,72.08,83.53,65.02,71.46,83.8,78.1,67.88,90.75,120.02,85.97,66.56,47.24,105.72,77.82,110.03,78.86,70.08,98.9,84.26,89.45,88.28,92.54,84.6,83.37,105.19,66.27,88.3,80.65,60.29,61.97,71.46,89.9,117.19,85.96,86.02,67.43,92.74,49.31,96.43,63.55,77.33,68.12,89.38,90.72,86.8,49.44,62.78,65.37,71.43,84.04
GNAS,166.8,191.26,204.45,253.52,201.17,178.94,238.54,175.35,184.06,200.44,276.59,231.66,269.66,237.07,138.57,213.25,159.8,186.03,173.72,148.02,244.92,191.68,209.56,173.82,204.58,200.11,274.96,450.33,164.89,150.88,170.98,204.02,203.33,237.12,251.88,146.92,174.77,193.03,165.22,140.48,144.04,180.65,136.26,269.43,266.09,224.39,311.85,124.45,145.54,172.09,214.68,181.28,231.94,307.43,171.3,166.96,191.98,216.09,227.06,238.17,194.08,222,257.86,225.28,224.08,475.64,230.61,237.84,757.01,651.86,647.7,322.07,336.53,464.75,485.24,310.83,611.04,414.64,406.66,432.5,825.74,688.5,796.48,951.19,940.05,827.48,437.62,430.79,289.7,682.9,589.96,596.91,271.61,217.89,473.41,622.31,638.65,469.14,320.48,347.03,428.08,552.52,663.32,391.09,286.62,254.8,967.88,1117.79,859.71,537.06,343.35,323.42,448.01,448.44,484.91,332.22,335.65,275.85,319.66,568.23,565.05,332.66,297.92,243.52,670.89,668.31,693.13,362.81,272.51,247
GNB1,468.91,412.8,540.05,586.6,483.01,499.87,622.53,290.17,324.7,473.53,574.18,373.34,455.35,547.08,356.31,413.08,455.44,412.87,598.19,375.1,574.45,436.34,438.07,355.04,614.94,430.42,367.02,390.46,343.18,492.25,547.15,496.31,406.65,524.43,557.43,307.58,400.08,505.74,422.62,575.32,535.19,260.47,503.26,574.86,490.7,460.78,550.07,241.64,484.09,484.07,376.97,384.69,505.37,572.7,288.56,495.01,483.08,414.94,351.84,409.35,336.82,308.43,383.68,381.67,375.31,342.41,421.48,391.84,420.29,427.57,511.34,545.73,563,665.33,430.53,323.1,326.86,320.74,334.37,417.24,383.15,314.72,272,370.17,344.33,345.13,413.07,554.86,455.93,330.91,428.1,449.47,390.33,489.79,428.53,461.16,359.3,509.71,492.61,496.84,359.16,397.09,441.01,447.49,482.52,489.04,335.08,359.01,270.19,459.94,485.39,518.57,349.49,347.88,396.05,417.74,459.31,309.17,444.67,435.52,550.99,541.76,506.47,327.08,383.99,449.51,395.53,488.66,395.96,420.19
